Major,Degree Type,Early Career Pay,Mid-Career Pay
Hotel Administration,Bachelors,61500,92100
Mechanical Design,Bachelors,57700,92100
Biomedical Sciences,Bachelors,41200,92000
International Trade & Business,Bachelors,52300,91900
Commerce Economics,Bachelors,51200,91800
Latin American Studies,Bachelors,44300,91700
Structural Design & Construction Engineering Technology,Bachelors,66500,91700
Civil Engineering Technology (CET),Bachelors,55600,91700
Government & Politics,Bachelors,50000,91500
Aviation Flight Science (AFL),Bachelors,49900,91400
Business & Finance,Bachelors,52800,91400
Marketing,Bachelors,49200,91400
Applied Statistics,Bachelors,62000,91300
Biopsychology,Bachelors,50200,91300
Industrial Technology (IT),Bachelors,57800,91300
Manufacturing Engineering Technology,Bachelors,61500,91300
Music Production & Engineering,Bachelors,42100,91100
Networks & Telecommunications,Bachelors,52900,91100
Chemistry & Environmental Science,Bachelors,46000,91000
Microbiology & Immunology,Bachelors,51500,91000
Accounts,Bachelors,57000,90900
Risk Management,Bachelors,59600,90900
Environmental Science & Policy,Bachelors,47300,90700
Dairy Science,Bachelors,49500,90600
Sales & Marketing,Bachelors,48500,90600
Welding Engineering Technology,Bachelors,72000,90400
Industrial Psychology,Bachelors,47000,90200
Marketing & Management,Bachelors,47200,90200
Transportation & Logistics Management,Bachelors,52700,90200
Marketing Management,Bachelors,48300,90100
Watershed Hydrology & Management,Bachelors,45500,90100
Electromechanical Engineering,Bachelors,67100,90000
Transportation,Bachelors,59100,90000
Advertising Design,Bachelors,49300,89700
Management & Finance,Bachelors,52500,89700
Risk Management & Insurance,Bachelors,56300,89700
Geology,Bachelors,48200,89600
Information Assurance,Bachelors,55600,89500
Political Science,Bachelors,47900,89500
Philosophy,Bachelors,48700,89400
Radiation Therapy,Bachelors,65600,89400
Cell Biology,Bachelors,48200,89300
French Literature,Bachelors,44200,89300
Web Design & Development,Bachelors,50600,89300
Meteorology,Bachelors,44500,89300
Biological Sciences,Bachelors,46200,89200
Occupational Therapy (OT),Bachelors,55100,89200
Environmental Policy Analysis & Planning,Bachelors,47200,89100
Entrepreneurial Studies,Bachelors,46700,88900
Financial Accounting,Bachelors,53400,88900
Political Science/Public Law,Bachelors,43900,88900
Quality Management,Bachelors,53400,88900
Aeronautics,Bachelors,59100,88800
Applied Computer Science,Bachelors,62900,88800
Accounting,Bachelors,51700,88700
Broadcasting Technology,Bachelors,40000,88700
Food Science,Bachelors,49900,88700
Marketing & Communications,Bachelors,46600,88700
Urban Planning,Bachelors,48100,88500
Manufacturing Management,Bachelors,60400,88500
Insurance,Bachelors,53000,88400
Business Data Analysis,Bachelors,60400,88300
Environmental Design,Bachelors,45400,88300
Advertising,Bachelors,44800,88200
Cinema Studies,Bachelors,45400,88200
Financial Management,Bachelors,51000,88200
Advertising & Marketing Communications,Bachelors,46000,88100
Operations & Supply Chain Management,Bachelors,57800,88100
Computer Information Management,Bachelors,46800,88000
Global & International Studies,Bachelors,45900,87800
Computing & Information Systems (CIS),Bachelors,50800,87800
Architecture,Bachelors,48300,87800
Environmental & Natural Resource Economics,Bachelors,49100,87600
Labor Studies,Bachelors,44100,87500
Aviation Technology,Bachelors,52600,87400
Social Ecology,Bachelors,46700,87400
Classics,Bachelors,45000,87300
Marketing Communication,Bachelors,43600,87300
Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,51700,87200
Organizational Psychology,Bachelors,48300,87200
European History,Bachelors,49700,87100
Urban & Regional Planning,Bachelors,47500,87000
Real Estate Development,Bachelors,54400,86800
Applied Technology,Bachelors,52900,86700
Entomology,Bachelors,44000,86700
Architectural Engineering Technology,Bachelors,49900,86600
Public Affairs,Bachelors,49700,86600
Entrepreneurship,Bachelors,51400,86500
Business Management & Marketing,Bachelors,45800,86400
Digital Arts,Bachelors,43200,86300
Industrial Safety,Bachelors,53200,86200
Logistics,Bachelors,54800,86200
Hotel Management,Bachelors,44500,86100
Cell & Molecular Biology,Bachelors,48900,86000
Global Business Management,Bachelors,53200,86000
Technical Management,Bachelors,57800,85900
Computer & Network Administration,Bachelors,54100,85900
Police Science,Bachelors,53400,85800
Pre-law,Bachelors,44700,85800
Business Communication,Bachelors,47600,85600
Microbiology,Bachelors,46200,85600
Professional Aeronautics,Bachelors,57700,85600
Advertising & Promotion,Bachelors,42400,85500
Network Systems Administration,Bachelors,53500,85400
Construction Technology,Bachelors,55500,85300
Electronic & Computer Technology,Bachelors,61300,85000
Marketing & Advertising,Bachelors,47200,85000
Electronic Systems Technology (EST),Bachelors,61800,84900
International Studies,Bachelors,47500,84800
Construction Engineering Technology,Bachelors,53000,84700
Applied Science,Bachelors,44100,84600
Accounting Information Systems,Bachelors,60000,84500
Environmental Health,Bachelors,48100,84500
Technology,Bachelors,53400,84500
Biosystems Engineering,Bachelors,62000,84200
Fashion Design,Bachelors,44800,84100
Agribusiness Management,Bachelors,47600,84000
German Language,Bachelors,48200,84000
Professional Pilot Education,Bachelors,59800,83900
Textile Technology,Bachelors,51500,83900
Manufacturing Systems,Bachelors,71700,83600
Diagnostic Medical Ultrasound,Bachelors,60800,83500
Marketing & Mass Communications,Bachelors,41800,83500
General Business,Bachelors,47600,83400
Computer Graphics Technology (CGT),Bachelors,46800,83400
Agricultural Systems Technology,Bachelors,54000,83300
Health Care,Bachelors,41700,83300
Hospital Administration,Bachelors,49600,83300
Personal Financial Planning,Bachelors,51200,83300
Business Technology Management,Bachelors,52900,83200
Health Policy & Administration,Bachelors,48300,83100
Math & Science,Bachelors,54400,82900
Architectural Design,Bachelors,46000,82800
Environmental Science,Bachelors,46500,82800
Advertising & Marketing,Bachelors,46300,82700
Animation,Bachelors,43100,82700
General Science,Bachelors,46900,82600
Biology & Chemistry,Bachelors,46700,82500
American Studies,Bachelors,49000,82400
Product Design Engineering,Bachelors,61500,82400
Aviation Maintenance Technology,Bachelors,49800,82300
Film Studies,Bachelors,42500,82300
Magazine Journalism,Bachelors,44500,82300
Web & Digital Media Development,Bachelors,48400,82200
Digital Media Design,Bachelors,45200,82000
English Literature,Bachelors,45400,82000
History & Politics,Bachelors,47200,82000
Human Biology,Bachelors,48400,82000
Business Management & Human Resources Management (HRM),Bachelors,44700,81900
Architectural Technology,Bachelors,44700,81900
Design,Bachelors,49400,81900
Philosophy & Religion,Bachelors,41800,81900
Physiology,Bachelors,46900,81900
Business Administration,Bachelors,49700,81700
French Studies,Bachelors,49500,81700
Land Surveying,Bachelors,48700,81700
Management,Bachelors,49000,81600
Geographic Information Systems (GIS),Bachelors,47100,81500
Interactive Media Design,Bachelors,51800,81500
Architectural Studies,Bachelors,43100,81400
Business Administration & Accounting,Bachelors,50300,81300
Industrial Arts,Bachelors,46500,81300
Textile Design,Bachelors,47400,81200
Textile & Apparel Studies,Bachelors,43800,81100
Accounting & Management,Bachelors,49700,81000
Nursing Science,Bachelors,63700,80900
Business Management,Bachelors,48800,80800
Linguistics,Bachelors,49300,80800
Agronomy,Bachelors,49100,80700
Corporate Communications,Bachelors,45300,80700
Neuroscience,Bachelors,47800,80700
Communication Studies & Journalism,Bachelors,42500,80600
Sociology & Organizational Studies,Bachelors,48200,80500
Nursing,Bachelors,61700,80400
Toxicology,Bachelors,43800,80300
History,Bachelors,45300,80300
Agricultural Science,Bachelors,46900,80300
Biology,Bachelors,44500,80200
Crop Science,Bachelors,45200,80200
French Language,Bachelors,46600,80200
Environmental Studies,Bachelors,45900,80100
Management (MGT),Bachelors,44800,80100
Communication,Bachelors,45300,79900
General & Strategic Management,Bachelors,48900,79800
Merchandising Management,Bachelors,44200,79800
Dental Hygiene,Bachelors,70400,79600
Hydrology,Bachelors,45300,79600
Global Business,Bachelors,53200,79500
Retail & Consumer Science,Bachelors,48500,79500
Literature,Bachelors,44400,79500
Emergency Management,Bachelors,49600,79400
Interpersonal & Organizational Communication,Bachelors,40300,79400
Nuclear Medicine,Bachelors,57800,79400
History & Political Science,Bachelors,48400,79300
Retail Merchandising,Bachelors,48000,79200
Agriculture,Bachelors,45300,79100
Environmental Management,Bachelors,47300,79100
Professional & Technical Writing,Bachelors,46000,79100
International Development Studies,Bachelors,45500,79000
Workforce Education & Development,Bachelors,57100,79000
Journalism & Mass Communication,Bachelors,43700,79000
Pre-Medicine,Bachelors,48400,78900
Bachelor in Science Nursing,Bachelors,61000,78800
Network Technology,Bachelors,54900,78800
Theatre & Drama Studies,Bachelors,41500,78600
Law,Bachelors,51900,78500
Law Enforcement,Bachelors,43800,78400
Printing Technology,Bachelors,43800,78400
Public Relations & Communication,Bachelors,43600,78400
Foreign Languages,Bachelors,47800,78300
Interior Architecture,Bachelors,45100,78300
Marine Science,Bachelors,44000,78300
Public Management,Bachelors,47800,78300
Web Development,Bachelors,54100,78300
Journalism,Bachelors,43500,78200
Landscape Architecture,Bachelors,49000,78200
Environmental Geography,Bachelors,47100,78200
Bachelor of Science in Nursing,Bachelors,60700,78100
Digital Media,Bachelors,44500,78000
Welding Technology,Bachelors,46100,78000
Nutrition Science,Bachelors,45900,77800
Accounting & Business,Bachelors,49400,77600
Diagnostic Medical Sonography,Bachelors,62200,77600
American History (United States),Bachelors,47800,77500
Strategic Communication,Bachelors,44600,77500
Public Relations (PR),Bachelors,43000,77400
Natural Sciences,Bachelors,41700,77300
International Affairs,Bachelors,49100,77200
Drama,Bachelors,43900,77200
Network Administration,Bachelors,46900,77200
Media Studies,Bachelors,48300,77100
Organizational Development,Bachelors,51600,77000
Writing,Bachelors,41800,77000
Integrated Marketing Communications,Bachelors,44600,76900
Crisis & Emergency Management,Bachelors,46600,76800
Organizational Communication,Bachelors,44000,76800
Retailing,Bachelors,48900,76800
Speech Communication,Bachelors,43900,76800
Allied Health,Bachelors,41800,76700
Environmental Biology,Bachelors,43000,76700
Nuclear Medicine Technology,Bachelors,58900,76700
Apparel & Textile Manufacture,Bachelors,45700,76600
Technology Management,Bachelors,53900,76500
Film Production,Bachelors,42700,76400
Security Management,Bachelors,44800,76400
Acting,Bachelors,42200,76200
Broadcast & Cinematic Arts,Bachelors,41900,76200
Business Management & Administration,Bachelors,48600,76200
Marine Biology,Bachelors,40800,76200
Professional Studies,Bachelors,42100,76200
Romance Languages,Bachelors,50300,76200
Computer Animation,Bachelors,44500,76100
Cytotechnology,Bachelors,58100,76000
Broadcast Journalism,Bachelors,41100,76000
Geography,Bachelors,46900,76000
Journalism & Electronic Media,Bachelors,42100,75900
Automotive Technology,Bachelors,45800,75800
Interpersonal Communications,Bachelors,43100,75800
Law & Society,Bachelors,44400,75700
Agricultural Business,Bachelors,50300,75600
Ancient History,Bachelors,43900,75600
Computer Aided Design (CAD),Bachelors,46500,75500
Computer Art,Bachelors,41200,75500
Administration,Bachelors,43100,75400
Forestry,Bachelors,44700,75400
Urban Studies,Bachelors,48600,75300
Business Law,Bachelors,51100,75100
Radio/Television & Film Production,Bachelors,42800,75000
Digital Design,Bachelors,48200,74800
Forensic Science,Bachelors,43800,74800
Geosciences,Bachelors,46600,74800
Logistics Management,Bachelors,52800,74800
Ecology,Bachelors,43500,74700
English & History,Bachelors,43600,74700
English Language & Literature,Bachelors,43900,74700
American Sign Language Interpreting,Bachelors,42500,74600
Homeland Security,Bachelors,46800,74600
Zoology,Bachelors,40300,74600
English Language,Bachelors,42100,74500
Human Resources Management (HRM),Bachelors,45300,74400
Technical Writing,Bachelors,52000,74300
Automotive Technology & Service Management,Bachelors,45400,74300
Business Technology,Bachelors,49800,74100
Mass Communication,Bachelors,42700,74100
Health Sciences,Bachelors,42400,74000
Organizational Leadership,Bachelors,47400,74000
Musicology,Bachelors,38100,73900
Spanish Language,Bachelors,44900,73600
Historic Preservation,Bachelors,41300,73500
Music Technology,Bachelors,42900,73500
Organizational Leadership & Supervision,Bachelors,46400,73500
Human Nutrition,Bachelors,45500,73400
Spanish Language Teacher Education,Bachelors,43900,73400
Botany,Bachelors,40300,73300
Apparel Merchandising,Bachelors,45400,73200
Environmental Health Science,Bachelors,51400,73100
Media & Technology,Bachelors,41400,73100
Public Administration,Bachelors,44200,73100
Liberal Arts,Bachelors,42500,73000
Merchandising,Bachelors,50500,73000
Environmental Resource Management,Bachelors,45700,72900
Computer Aided Drafting & Design (CADD),Bachelors,46800,72800
Forestry Management,Bachelors,44300,72800
German Language & Literature,Bachelors,46100,72700
Electronics & Computer Technology,Bachelors,51700,72700
Administrative Management,Bachelors,50100,72600
Cardiopulmonary Science,Bachelors,45800,72600
3D Animation,Bachelors,49400,72500
Ethnic Studies,Bachelors,44900,72300
Adult Education & Training,Bachelors,46200,72200
Health Administration,Bachelors,40700,72200
Agricultural Communication,Bachelors,42600,72100
Organizational Management,Bachelors,46900,72100
Multimedia,Bachelors,42800,72000
Communication Design,Bachelors,48700,71900
Radiologic Science,Bachelors,54900,71800
Exercise Physiology,Bachelors,41600,71700
Criminal Justice Administration,Bachelors,43700,71600
Natural Resource Management,Bachelors,43800,71500
Diagnostic Medical Imaging,Bachelors,57900,71400
Earth Science,Bachelors,48200,71400
Hotel & Restaurant Management,Bachelors,44600,71400
Radiology,Bachelors,51600,71300
Art History,Bachelors,44400,71200
Hospital Management,Bachelors,48500,71200
Retail Management,Bachelors,45700,71200
English & Psychology,Bachelors,41100,71100
Human Resources (HR),Bachelors,44800,71100
Management & Organization,Bachelors,53900,71100
Painting & Printmaking,Bachelors,32800,71100
Visual Effects & Motion Graphics,Bachelors,47400,71100
Medical Laboratory Technology,Bachelors,54100,71000
Fashion Merchandising,Bachelors,44100,71000
Multimedia & Web Design,Bachelors,47500,70900
Advertising & Graphic Design,Bachelors,44600,70800
Anthropology,Bachelors,43500,70800
Broadcast Communication,Bachelors,37900,70800
Communication Management,Bachelors,42500,70800
Health Care Administration,Bachelors,43600,70800
Natural Resources,Bachelors,44900,70700
Psychology,Bachelors,42000,70700
Visual Communications,Bachelors,43000,70700
Applied Behavior Analysis,Bachelors,36900,70600
Travel Industry Management,Bachelors,51800,70600
Humanities,Bachelors,43800,70500
Sociology & Anthropology,Bachelors,41900,70500
Communication Arts,Bachelors,40400,70500
Creative Writing,Bachelors,42800,70400
Anthropology & English,Bachelors,44900,70300
Modern Languages,Bachelors,48600,70300
Health Care Management,Bachelors,44000,70200
Health Teacher Education,Bachelors,35500,70200
Radiologic Technology,Bachelors,52100,70200
Health & Fitness,Bachelors,38000,70100
Animal Science & Management,Bachelors,42100,70000
Criminology,Bachelors,42400,70000
Hospitality Management,Bachelors,43600,70000
Art Administration,Bachelors,36800,70000
Human Relations,Bachelors,41100,70000
Health Information Management,Bachelors,46200,69900
Medical Laboratory Science,Bachelors,53000,69900
Liberal Studies,Bachelors,42300,69800
Secondary & Middle School Mathematics Teacher Education,Bachelors,43100,69800
Fashion Design & Marketing,Bachelors,42200,69700
Art & Design,Bachelors,42400,69600
Physical Anthropology,Bachelors,49300,69600
Sports Management,Bachelors,42900,69600
Life Sciences,Bachelors,51900,69400
Respiratory Care,Bachelors,52300,69200
Audio Engineering,Bachelors,45900,69100
Social & Criminal Justice,Bachelors,42300,69100
Child Psychology,Bachelors,37100,68900
Interior Design,Bachelors,42400,68900
Small Business Management,Bachelors,43900,68900
Turfgrass Management,Bachelors,47700,68900
Medical Technology,Bachelors,53300,68800
Religious Studies,Bachelors,41000,68800
Hotel & Restaurant Tourism,Bachelors,42500,68700
Sociology,Bachelors,43700,68600
Arts & Science,Bachelors,43900,68500
Secondary Education,Bachelors,42700,68500
Speech Pathology & Audiology,Bachelors,41500,68500
Theater,Bachelors,42400,68400
Archaeology,Bachelors,43900,68300
Illustration,Bachelors,42900,68300
Radiography,Bachelors,52700,68300
Media Arts,Bachelors,44000,68200
Clinical Laboratory Science,Bachelors,52400,68100
Graphics Technology & Management,Bachelors,38800,68100
Psychology & Social Behavior,Bachelors,44100,68100
Health Management,Bachelors,42000,68000
Media Communication,Bachelors,44300,68000
Mass Media,Bachelors,38100,67900
Nutrition,Bachelors,45100,67900
Performing Arts,Bachelors,42900,67800
SocialStudies,Bachelors,43700,67700
Italian Language,Bachelors,47800,67600
Social Studies,Bachelors,44100,67500
Commercial Photography,Bachelors,42000,67300
Radio & Television,Bachelors,40800,67200
Respiratory Therapy,Bachelors,52300,67200
Art Therapy,Bachelors,39200,67100
Biological Anthropology,Bachelors,41900,67100
Drafting & Design,Bachelors,48900,66800
Geomatics,Bachelors,49000,66800
Clinical Nutrition,Bachelors,47600,66700
Horticulture & Agronomy,Bachelors,46400,66700
Graphic Communication,Bachelors,44700,66600
Plant Sciences,Bachelors,45800,66600
Kinesiology,Bachelors,42100,66600
Fire Science,Bachelors,47200,66600
Fashion Marketing & Management,Bachelors,45200,66500
Music,Bachelors,41800,66500
Nutrition & Dietetics,Bachelors,48500,66500
Health,Bachelors,41900,66400
Legal Studies,Bachelors,44400,66400
Criminal Justice,Bachelors,40600,66300
Wildlife & Fisheries Science,Bachelors,38300,66300
Forensic Psychology,Bachelors,40800,66200
Graphic Design,Bachelors,42600,65800
Dramatic Art,Bachelors,38900,65700
Hospitality & Tourism,Bachelors,41500,65600
Religion,Bachelors,41100,65600
Pre-Veterinary Medicine,Bachelors,37600,65600
Sports Medicine,Bachelors,45700,65400
Women's Studies,Bachelors,42700,65400
Fine Arts,Bachelors,40400,65300
Public Health (PH),Bachelors,43400,65300
Modern Language Spanish,Bachelors,41100,65200
Museum Studies,Bachelors,37600,65200
Business Leadership,Bachelors,47700,65100
Dietetics,Bachelors,48700,65100
Forensic Accounting,Bachelors,44200,65100
Landscape Management,Bachelors,49300,65100
